event_name,location,transaction_id,transaction_date,category,description,paid_by,total_amount_inr,split_type,number_of_people_in_split,split_between,split_details,source_file,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,expense_id,amount,merchant,Transaction Description,Type,Payment_Mode,Month,ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
TechFusion 2026 - Inter College Fest,"Mumbai, India",50eb244e-be76-40f0-80f6-e43d4cbaefa8,2026-01-13,Volunteer Expense,Food & Catering expense for fest operations,Dev Anand,2890.74,equal,8.0,Lokesh Rahul|Preetam Chakraborty|Priya Rao|Myra Mehta|Vijaya Balan|Lakshmi Nambiar|Dev Anand|Shahid Kapoor,"{'Lokesh Rahul': 361.34, 'Preetam Chakraborty': 361.34, 'Priya Rao': 361.34, 'Myra Mehta': 361.34, 'Vijaya Balan': 361.34, 'Lakshmi Nambiar': 361.34, 'Dev Anand': 361.34, 'Shahid Kapoor': 361.34}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",0e60dbad-b332-4104-90a4-a2dc4ad41afe,2026-01-11,Printing & Merchandise,Equipment Rental expense for fest operations,Shreya Ghoshal,4544.3,unequal_percentage,6.0,Meera Krishnan|Alka Yagnik|Vishal Dadlani|Reyansh Gupta|Urvashi Rautela|Sachin Tendulkar,"{'Meera Krishnan': 1220.9, 'Alka Yagnik': 1401.3, 'Vishal Dadlani': 392.16, 'Reyansh Gupta': 698.61, 'Urvashi Rautela': 637.2, 'Sachin Tendulkar': 194.14}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",ec2d9295-7c62-45b9-8c04-714e92b41db5,2026-01-12,Volunteer Expense,Marketing expense for fest operations,Kavya Iyer,9864.93,equal,10.0,Mira Rajput|Meera Krishnan|Rishaan Nair|Balram Yadav|Lokesh Rahul|Myra Mehta|Rahul Tiwari|Qasim Ali|Bharti Gill|Divya Mukherjee,"{'Mira Rajput': 986.49, 'Meera Krishnan': 986.49, 'Rishaan Nair': 986.49, 'Balram Yadav': 986.49, 'Lokesh Rahul': 986.49, 'Myra Mehta': 986.49, 'Rahul Tiwari': 986.49, 'Qasim Ali': 986.49, 'Bharti Gill': 986.49, 'Divya Mukherjee': 986.49}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",a276de24-a820-4497-9669-a91bb931e77d,2026-01-11,Marketing,Marketing expense for fest operations,Vandana Luthra,4037.15,equal,3.0,Meera Krishnan|Pooja Bhattacharya|Diljit Dosanjh,"{'Meera Krishnan': 1345.72, 'Pooja Bhattacharya': 1345.72, 'Diljit Dosanjh': 1345.72}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",8e05a176-b5d8-40aa-8d19-ab4a13784833,2026-01-11,Accommodation,Sponsorship Expense expense for fest operations,Rishaan Nair,2442.95,equal,12.0,Vivaan Mehta|Adnan Sami|Atharva Joshi|Renu Arora|Divya Mukherjee|Atharva Joshi|Yami Gautam|Armaan Malik|Sonu Nigam|Pihu Verma|Dev Anand|Ayaan Khan,"{'Vivaan Mehta': 203.58, 'Adnan Sami': 203.58, 'Atharva Joshi': 203.58, 'Renu Arora': 203.58, 'Divya Mukherjee': 203.58, 'Yami Gautam': 203.58, 'Armaan Malik': 203.58, 'Sonu Nigam': 203.58, 'Pihu Verma': 203.58, 'Dev Anand': 203.58, 'Ayaan Khan': 203.58}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",415e5c44-1330-4930-8d84-825d4cd19f9f,2026-01-11,Sponsorship Expense,Accommodation expense for fest operations,Bharti Gill,6896.38,unequal_percentage,10.0,Taapsee Pannu|Meera Krishnan|Saanvi Gupta|Bharti Gill|Pooja Bhattacharya|Taapsee Pannu|Varun Bansal|Ayaan Khan|Urvashi Rautela|Vandana Luthra,"{'Taapsee Pannu': 1136.77, 'Meera Krishnan': 952.1, 'Saanvi Gupta': 693.66, 'Bharti Gill': 744.13, 'Pooja Bhattacharya': 792.64, 'Varun Bansal': 668.84, 'Ayaan Khan': 422.32, 'Urvashi Rautela': 449.57, 'Vandana Luthra': 739.13}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",919c2068-3a7d-468c-bd4b-39daefd0073a,2026-01-15,Food & Catering,Food & Catering expense for fest operations,Atharva Joshi,3361.49,equal,9.0,Rishaan Nair|Sachin Tendulkar|Renu Arora|Pooja Bhattacharya|Atharva Joshi|Preetam Chakraborty|Myra Mehta|Pooja Bhattacharya|Atharva Joshi,"{'Rishaan Nair': 373.5, 'Sachin Tendulkar': 373.5, 'Renu Arora': 373.5, 'Pooja Bhattacharya': 373.5, 'Atharva Joshi': 373.5, 'Preetam Chakraborty': 373.5, 'Myra Mehta': 373.5}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",f85a53ad-f743-40a2-bd48-5ea55444fb77,2026-01-15,Transport,Stage & Production expense for fest operations,Leena Chandavarkar,8959.25,unequal_percentage,5.0,Yami Gautam|Sachin Tendulkar|Vivaan Mehta|Vivaan Mehta|Paresh Rawal,"{'Yami Gautam': 1644.51, 'Sachin Tendulkar': 2270.48, 'Vivaan Mehta': 3042.54, 'Paresh Rawal': 1686.28}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",fc8499ff-176f-4c42-a13e-c86342964951,2026-01-12,After Party,Printing & Merchandise expense for fest operations,Varun Bansal,2145.35,equal,7.0,Vivaan Mehta|Sachin Tendulkar|Divya Mukherjee|Kavya Iyer|Sonu Nigam|Shreya Ghoshal|Saanvi Gupta,"{'Vivaan Mehta': 306.48, 'Sachin Tendulkar': 306.48, 'Divya Mukherjee': 306.48, 'Kavya Iyer': 306.48, 'Sonu Nigam': 306.48, 'Shreya Ghoshal': 306.48, 'Saanvi Gupta': 306.48}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",0020e551-753f-4b68-b86a-1bf39a299e38,2026-01-10,Printing & Merchandise,Marketing expense for fest operations,Aanya Singh,2090.85,equal,7.0,Yami Gautam|Kiara Advani|Aanya Singh|Sunidhi Chauhan|Paresh Rawal|Myra Mehta|Dev Anand,"{'Yami Gautam': 298.69, 'Kiara Advani': 298.69, 'Aanya Singh': 298.69, 'Sunidhi Chauhan': 298.69, 'Paresh Rawal': 298.69, 'Myra Mehta': 298.69, 'Dev Anand': 298.69}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",2c7f4cfe-1e7e-428d-a99f-34f49b4c2db6,2026-01-14,Marketing,Accommodation expense for fest operations,Udit Narayan,1670.39,equal,14.0,Diljit Dosanjh|Sachin Tendulkar|Preetam Chakraborty|Armaan Malik|Renu Arora|Mira Rajput|Kavya Iyer|Pallavi Shah|Alka Yagnik|Yami Gautam|Priya Rao|Shreya Ghoshal|Pihu Verma|Shahid Kapoor,"{'Diljit Dosanjh': 119.31, 'Sachin Tendulkar': 119.31, 'Preetam Chakraborty': 119.31, 'Armaan Malik': 119.31, 'Renu Arora': 119.31, 'Mira Rajput': 119.31, 'Kavya Iyer': 119.31, 'Pallavi Shah': 119.31, 'Alka Yagnik': 119.31, 'Yami Gautam': 119.31, 'Priya Rao': 119.31, 'Shreya Ghoshal': 119.31, 'Pihu Verma': 119.31, 'Shahid Kapoor': 119.31}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",c23960aa-21f1-4ec5-855c-30504d10846a,2026-01-15,After Party,Accommodation expense for fest operations,Shahid Kapoor,6963.79,equal,7.0,Sunidhi Chauhan|Vishal Dadlani|Adnan Sami|Diljit Dosanjh|Kiara Advani|Varun Bansal|Shreya Ghoshal,"{'Sunidhi Chauhan': 994.83, 'Vishal Dadlani': 994.83, 'Adnan Sami': 994.83, 'Diljit Dosanjh': 994.83, 'Kiara Advani': 994.83, 'Varun Bansal': 994.83, 'Shreya Ghoshal': 994.83}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",a73501bc-7b58-4090-ae4a-f0bf71d19525,2026-01-15,Transport,Stage & Production expense for fest operations,Divya Mukherjee,2752.59,equal,4.0,Reyansh Gupta|Leena Chandavarkar|Mira Rajput|Varun Bansal,"{'Reyansh Gupta': 688.15, 'Leena Chandavarkar': 688.15, 'Mira Rajput': 688.15, 'Varun Bansal': 688.15}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",04e08e68-6a70-4066-b37b-78957c8c1002,2026-01-11,Sponsorship Expense,Marketing expense for fest operations,Kavita Krishnamurthy,2090.72,unequal_percentage,4.0,Divya Mukherjee|Rishaan Nair|Mumtaz Begum|Rahul Tiwari,"{'Divya Mukherjee': 339.3, 'Rishaan Nair': 202.29, 'Mumtaz Begum': 177.27, 'Rahul Tiwari': 1371.86}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",c29faaa5-d696-4581-910a-0e62b0726069,2026-01-13,Equipment Rental,Accommodation expense for fest operations,Rahul Tiwari,6867.6,equal,4.0,Urvashi Rautela|Pooja Bhattacharya|Rahul Tiwari|Atharva Joshi,"{'Urvashi Rautela': 1716.9, 'Pooja Bhattacharya': 1716.9, 'Rahul Tiwari': 1716.9, 'Atharva Joshi': 1716.9}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",d8a64c46-7652-431d-9caa-d9d083edc16d,2026-01-11,Equipment Rental,Food & Catering expense for fest operations,Yami Gautam,3745.36,equal,10.0,Lokesh Rahul|Reyansh Gupta|Renu Arora|Aanya Singh|Taapsee Pannu|Ayaan Khan|Reyansh Gupta|Vijaya Balan|Leena Chandavarkar|Shreya Ghoshal,"{'Lokesh Rahul': 374.54, 'Reyansh Gupta': 374.54, 'Renu Arora': 374.54, 'Aanya Singh': 374.54, 'Taapsee Pannu': 374.54, 'Ayaan Khan': 374.54, 'Vijaya Balan': 374.54, 'Leena Chandavarkar': 374.54, 'Shreya Ghoshal': 374.54}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",3cb195d7-8d21-4e56-a108-a7deaad93fcf,2026-01-13,Marketing,Equipment Rental expense for fest operations,Taapsee Pannu,2292.58,unequal_percentage,15.0,Kiara Advani|Myra Mehta|Alka Yagnik|Bharti Gill|Adnan Sami|Diljit Dosanjh|Meera Krishnan|Armaan Malik|Vijaya Balan|Atharva Joshi|Vivaan Mehta|Pihu Verma|Vishal Dadlani|Lokesh Rahul|Mumtaz Begum,"{'Kiara Advani': 247.69, 'Myra Mehta': 43.98, 'Alka Yagnik': 278.67, 'Bharti Gill': 148.9, 'Adnan Sami': 158.53, 'Diljit Dosanjh': 266.48, 'Meera Krishnan': 118.73, 'Armaan Malik': 170.73, 'Vijaya Balan': 222.08, 'Atharva Joshi': 78.01, 'Vivaan Mehta': 72.72, 'Pihu Verma': 59.84, 'Vishal Dadlani': 204.95, 'Lokesh Rahul': 215.68, 'Mumtaz Begum': 5.6}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",aacd9275-d329-4ceb-b91f-0c191277604d,2026-01-10,Stage & Production,Volunteer Expense expense for fest operations,Renu Arora,5354.48,equal,3.0,Anjali Soni|Lokesh Rahul|Kavita Krishnamurthy,"{'Anjali Soni': 1784.83, 'Lokesh Rahul': 1784.83, 'Kavita Krishnamurthy': 1784.83}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",8165d666-b820-4402-bde9-fcc2ad3ef8d5,2026-01-14,Stage & Production,Transport expense for fest operations,Vijaya Balan,8571.76,equal,10.0,Lakshmi Nambiar|Myra Mehta|Enrique D'Cruz|Varun Bansal|Lokesh Rahul|Alka Yagnik|Varun Bansal|Kavya Iyer|Pallavi Shah|Qasim Ali,"{'Lakshmi Nambiar': 857.18, 'Myra Mehta': 857.18, ""Enrique D'Cruz"": 857.18, 'Varun Bansal': 857.18, 'Lokesh Rahul': 857.18, 'Alka Yagnik': 857.18, 'Kavya Iyer': 857.18, 'Pallavi Shah': 857.18, 'Qasim Ali': 857.18}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",1c3fcc29-e534-4d9f-93fe-b16adf1146b4,2026-01-12,Marketing,Sponsorship Expense expense for fest operations,Sachin Tendulkar,9080.01,equal,10.0,Atharva Joshi|Ayaan Khan|Kavita Krishnamurthy|Diljit Dosanjh|Lakshmi Nambiar|Sachin Tendulkar|Kavita Krishnamurthy|Diljit Dosanjh|Reyansh Gupta|Kiara Advani,"{'Atharva Joshi': 908.0, 'Ayaan Khan': 908.0, 'Kavita Krishnamurthy': 908.0, 'Diljit Dosanjh': 908.0, 'Lakshmi Nambiar': 908.0, 'Sachin Tendulkar': 908.0, 'Reyansh Gupta': 908.0, 'Kiara Advani': 908.0}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",70654e51-1883-4cf1-8d77-fc541fd16031,2026-01-11,Stage & Production,Food & Catering expense for fest operations,Enrique D'Cruz,1361.81,equal,4.0,Vivaan Mehta|Shahid Kapoor|Mira Rajput|Mumtaz Begum,"{'Vivaan Mehta': 340.45, 'Shahid Kapoor': 340.45, 'Mira Rajput': 340.45, 'Mumtaz Begum': 340.45}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",7190609f-8038-49e2-b4ef-7fca38826fce,2026-01-15,Accommodation,Food & Catering expense for fest operations,Priya Rao,1478.23,unequal_percentage,9.0,Lakshmi Nambiar|Mumtaz Begum|Rahul Tiwari|Udit Narayan|Kavita Krishnamurthy|Armaan Malik|Varun Bansal|Rishaan Nair|Preetam Chakraborty,"{'Lakshmi Nambiar': 46.87, 'Mumtaz Begum': 78.66, 'Rahul Tiwari': 241.18, 'Udit Narayan': 8.53, 'Kavita Krishnamurthy': 217.91, 'Armaan Malik': 222.06, 'Varun Bansal': 220.71, 'Rishaan Nair': 196.68, 'Preetam Chakraborty': 245.64}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",91508191-2ce7-4d48-8500-fb3f07a02a8f,2026-01-11,After Party,After Party expense for fest operations,Preetam Chakraborty,1649.25,unequal_percentage,13.0,Myra Mehta|Adnan Sami|Mumtaz Begum|Armaan Malik|Reyansh Gupta|Urvashi Rautela|Pooja Bhattacharya|Pooja Bhattacharya|Vijaya Balan|Pihu Verma|Shahid Kapoor|Dev Anand|Aanya Singh,"{'Myra Mehta': 17.69, 'Adnan Sami': 194.9, 'Mumtaz Begum': 299.27, 'Armaan Malik': 7.98, 'Reyansh Gupta': 46.27, 'Urvashi Rautela': 109.17, 'Pooja Bhattacharya': 35.58, 'Vijaya Balan': 282.47, 'Pihu Verma': 199.46, 'Shahid Kapoor': 232.5, 'Dev Anand': 80.58, 'Aanya Singh': 26.27}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",28469cab-776b-4717-bf76-04b57c9ac00e,2026-01-12,Equipment Rental,Printing & Merchandise expense for fest operations,Udit Narayan,4767.79,equal,9.0,Bharti Gill|Varun Bansal|Bharti Gill|Vandana Luthra|Leena Chandavarkar|Lokesh Rahul|Kavita Krishnamurthy|Vijaya Balan|Priya Rao,"{'Bharti Gill': 529.75, 'Varun Bansal': 529.75, 'Vandana Luthra': 529.75, 'Leena Chandavarkar': 529.75, 'Lokesh Rahul': 529.75, 'Kavita Krishnamurthy': 529.75, 'Vijaya Balan': 529.75, 'Priya Rao': 529.75}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",0c3b6b82-9a5c-481f-b9c0-4cbfea130f3c,2026-01-12,Volunteer Expense,Stage & Production expense for fest operations,Divya Mukherjee,5071.44,unequal_percentage,9.0,Varun Bansal|Vivaan Mehta|Urvashi Rautela|Sunidhi Chauhan|Bharti Gill|Rahul Tiwari|Udit Narayan|Diljit Dosanjh|Reyansh Gupta,"{'Varun Bansal': 508.03, 'Vivaan Mehta': 502.35, 'Urvashi Rautela': 531.74, 'Sunidhi Chauhan': 758.9, 'Bharti Gill': 779.71, 'Rahul Tiwari': 596.05, 'Udit Narayan': 828.2, 'Diljit Dosanjh': 346.88, 'Reyansh Gupta': 219.59}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",61a80a2b-f6a8-403f-846d-0506a6b54750,2026-01-14,Equipment Rental,Accommodation expense for fest operations,Preetam Chakraborty,3695.67,equal,2.0,Balram Yadav|Anjali Soni,"{'Balram Yadav': 1847.84, 'Anjali Soni': 1847.84}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",9200df59-f871-42f5-8749-9beadef3c31b,2026-01-14,Food & Catering,Volunteer Expense expense for fest operations,Diljit Dosanjh,7142.88,unequal_percentage,12.0,Anjali Soni|Qasim Ali|Saanvi Gupta|Vishal Dadlani|Sachin Tendulkar|Yami Gautam|Udit Narayan|Atharva Joshi|Renu Arora|Adnan Sami|Rishaan Nair|Priya Rao,"{'Anjali Soni': 1122.36, 'Qasim Ali': 24.25, 'Saanvi Gupta': 891.01, 'Vishal Dadlani': 907.91, 'Sachin Tendulkar': 1339.37, 'Yami Gautam': 1319.45, 'Udit Narayan': 263.66, 'Atharva Joshi': 92.06, 'Renu Arora': 382.16, 'Adnan Sami': 67.05, 'Rishaan Nair': 174.68, 'Priya Rao': 558.92}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",464b4e41-be6d-4ded-a75f-f31e83a7e756,2026-01-14,Printing & Merchandise,Printing & Merchandise expense for fest operations,Lokesh Rahul,5292.9,unequal_percentage,2.0,Udit Narayan|Dev Anand,"{'Udit Narayan': 3171.11, 'Dev Anand': 2121.79}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",ccabc90c-4ac5-4aca-840f-4ab1e328a112,2026-01-11,Food & Catering,Transport expense for fest operations,Preetam Chakraborty,9309.0,equal,10.0,Taapsee Pannu|Balram Yadav|Aanya Singh|Vijaya Balan|Pooja Bhattacharya|Armaan Malik|Kunal Khanna|Pooja Bhattacharya|Anjali Soni|Myra Mehta,"{'Taapsee Pannu': 930.9, 'Balram Yadav': 930.9, 'Aanya Singh': 930.9, 'Vijaya Balan': 930.9, 'Pooja Bhattacharya': 930.9, 'Armaan Malik': 930.9, 'Kunal Khanna': 930.9, 'Anjali Soni': 930.9, 'Myra Mehta': 930.9}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",d7e295d2-6f92-4dd3-9bad-44d29d128ebb,2026-01-10,Stage & Production,Equipment Rental expense for fest operations,Diljit Dosanjh,4000.83,equal,12.0,Divya Mukherjee|Kavita Krishnamurthy|Yami Gautam|Bharti Gill|Vandana Luthra|Kunal Khanna|Balram Yadav|Divya Mukherjee|Urvashi Rautela|Vandana Luthra|Saanvi Gupta|Renu Arora,"{'Divya Mukherjee': 333.4, 'Kavita Krishnamurthy': 333.4, 'Yami Gautam': 333.4, 'Bharti Gill': 333.4, 'Vandana Luthra': 333.4, 'Kunal Khanna': 333.4, 'Balram Yadav': 333.4, 'Urvashi Rautela': 333.4, 'Saanvi Gupta': 333.4, 'Renu Arora': 333.4}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",a56b3163-903b-4a37-934c-a0df23177f65,2026-01-11,Sponsorship Expense,Sponsorship Expense expense for fest operations,Ayaan Khan,7169.91,unequal_percentage,7.0,Rahul Tiwari|Kavita Krishnamurthy|Armaan Malik|Armaan Malik|Myra Mehta|Shreya Ghoshal|Lakshmi Nambiar,"{'Rahul Tiwari': 1870.58, 'Kavita Krishnamurthy': 490.34, 'Armaan Malik': 79.39, 'Myra Mehta': 759.67, 'Shreya Ghoshal': 1840.75, 'Lakshmi Nambiar': 1229.76}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",a42f74dd-2bfc-4537-b2d5-e8e0f4576661,2026-01-15,Food & Catering,Printing & Merchandise expense for fest operations,Ayaan Khan,2906.13,equal,15.0,Divya Mukherjee|Varun Bansal|Mira Rajput|Adnan Sami|Preetam Chakraborty|Rahul Tiwari|Shahid Kapoor|Qasim Ali|Saanvi Gupta|Kavita Krishnamurthy|Sunidhi Chauhan|Divya Mukherjee|Taapsee Pannu|Pooja Bhattacharya|Sachin Tendulkar,"{'Divya Mukherjee': 193.74, 'Varun Bansal': 193.74, 'Mira Rajput': 193.74, 'Adnan Sami': 193.74, 'Preetam Chakraborty': 193.74, 'Rahul Tiwari': 193.74, 'Shahid Kapoor': 193.74, 'Qasim Ali': 193.74, 'Saanvi Gupta': 193.74, 'Kavita Krishnamurthy': 193.74, 'Sunidhi Chauhan': 193.74, 'Taapsee Pannu': 193.74, 'Pooja Bhattacharya': 193.74, 'Sachin Tendulkar': 193.74}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",3e361f1c-e250-4e61-a7d0-1f6964650696,2026-01-12,Stage & Production,Volunteer Expense expense for fest operations,Balram Yadav,3077.3,equal,14.0,Lakshmi Nambiar|Sunidhi Chauhan|Enrique D'Cruz|Saanvi Gupta|Divya Mukherjee|Pooja Bhattacharya|Mumtaz Begum|Armaan Malik|Sonu Nigam|Lokesh Rahul|Sonu Nigam|Rahul Tiwari|Renu Arora|Alka Yagnik,"{'Lakshmi Nambiar': 219.81, 'Sunidhi Chauhan': 219.81, ""Enrique D'Cruz"": 219.81, 'Saanvi Gupta': 219.81, 'Divya Mukherjee': 219.81, 'Pooja Bhattacharya': 219.81, 'Mumtaz Begum': 219.81, 'Armaan Malik': 219.81, 'Sonu Nigam': 219.81, 'Lokesh Rahul': 219.81, 'Rahul Tiwari': 219.81, 'Renu Arora': 219.81, 'Alka Yagnik': 219.81}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",05c8d790-9b33-4f23-b839-d8b6d8f1426f,2026-01-13,After Party,Accommodation expense for fest operations,Diljit Dosanjh,5009.7,equal,4.0,Balram Yadav|Kavya Iyer|Shreya Ghoshal|Kavita Krishnamurthy,"{'Balram Yadav': 1252.42, 'Kavya Iyer': 1252.42, 'Shreya Ghoshal': 1252.42, 'Kavita Krishnamurthy': 1252.42}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",4a5c6a91-df46-4bae-841c-3c71efadc9ae,2026-01-12,Stage & Production,Stage & Production expense for fest operations,Shahid Kapoor,6882.58,equal,2.0,Enrique D'Cruz|Reyansh Gupta,"{""Enrique D'Cruz"": 3441.29, 'Reyansh Gupta': 3441.29}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechFusion 2026 - Inter College Fest,"Mumbai, India",1059aba2-4931-4b3a-be49-856b42d3bf5d,2026-01-10,Food & Catering,Food & Catering expense for fest operations,Lokesh Rahul,2161.34,equal,14.0,Reyansh Gupta|Sonu Nigam|Taapsee Pannu|Balram Yadav|Dev Anand|Divya Mukherjee|Shreya Ghoshal|Pihu Verma|Diljit Dosanjh|Yami Gautam|Mira Rajput|Myra Mehta|Sachin Tendulkar|Kavya Iyer,"{'Reyansh Gupta': 154.38, 'Sonu Nigam': 154.38, 'Taapsee Pannu': 154.38, 'Balram Yadav': 154.38, 'Dev Anand': 154.38, 'Divya Mukherjee': 154.38, 'Shreya Ghoshal': 154.38, 'Pihu Verma': 154.38, 'Diljit Dosanjh': 154.38, 'Yami Gautam': 154.38, 'Mira Rajput': 154.38, 'Myra Mehta': 154.38, 'Sachin Tendulkar': 154.38, 'Kavya Iyer': 154.38}",Dataset/SmartSettle_MultiScenario_RealNames_INR (1).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
